"filename", "language", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Sheet Tabs\BasicsTab.jsx", "JavaScript JSX", 0, 0, 0, 99, 0, 0, 5, 6, 110
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Sheet Tabs\SkillsTab.jsx", "JavaScript JSX", 0, 0, 0, 54, 0, 0, 5, 11, 70
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\ClassList.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 0, 1, 4, 34
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\ClassSelector.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 0, 18, 11, 114
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\ClassTable.jsx", "JavaScript JSX", 0, 0, 0, 78, 0, 0, 4, 15, 97
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\Functions\babsaves.js", "JavaScript", 0, 0, 16, 0, 0, 0, 4, 3, 23
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\Functions\compatibleArchetypes.js", "JavaScript", 0, 0, 106, 0, 0, 0, 17, 18, 141
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Formatting\Formatting.js", "JavaScript", 0, 0, 11, 0, 0, 0, 2, 1, 14
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Generic\ExpandTableRow.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 4, 0, 27
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\AddNew.jsx", "JavaScript JSX", 0, 0, 0, 52, 0, 0, 1, 8, 61
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\Character.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 2, 6, 35
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\EditBuff.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\New\NewBuff.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 0, 2, 11, 71
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\New\NewClass.jsx", "JavaScript JSX", 0, 0, 0, 1116, 0, 0, 107, 167, 1390
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Skills\SkillRow.jsx", "JavaScript JSX", 0, 0, 0, 103, 0, 0, 13, 19, 135
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Skills\SkillRowRank.jsx", "JavaScript JSX", 0, 0, 0, 98, 0, 0, 13, 14, 125
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Skills\SkillSelector.jsx", "JavaScript JSX", 0, 0, 0, 95, 0, 0, 15, 19, 129
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Spells\SpellKnownTable.jsx", "JavaScript JSX", 0, 0, 0, 125, 0, 0, 11, 23, 159
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Spells\SpellTable.jsx", "JavaScript JSX", 0, 0, 0, 143, 0, 0, 29, 39, 211
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Spells\SpellsPerDayTable.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 1, 2, 14
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\index.css", "CSS", 0, 0, 0, 0, 190, 0, 1, 36, 227
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\main.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\test\NewClass.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\annem\Documents\Programming\pathfinder-sheet\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 1, 2, 8
"Total", "-", 4496, 1, 223, 3402, 227, 13, 375, 621, 9358
